date,open,close,high,low,volume,amount,return,is_extreme,code,name,industry,index_000300_close,index_000001_close,macro_cpi,macro_m2
2020-01-02,23.8438486,24.2606991,24.40242827,23.7604785,29869344.0,864350753.64,,False,002142,宁波银行,银行,4152.24,3085.197,5.4,8.4
2020-01-03,24.20234003,24.3440692,24.38575425,23.95222973,17278899.0,502067849.69,0.0034305350967892222,False,002142,宁波银行,银行,4144.964,3083.785,5.4,8.4
2020-01-06,24.177329,24.40242827,24.80260475,24.07728488,15150493.0,444011931.04,0.0023943914295583937,False,002142,宁波银行,银行,4129.295,3083.408,5.4,8.4
2020-01-07,24.47746136,24.51914641,24.81094176,24.3440692,12358694.0,364420700.76,0.004771651862109189,False,002142,宁波银行,银行,4160.227,3104.801,5.4,8.4
2020-01-08,24.31072116,24.0939589,24.39409126,23.96890375,12712674.0,367269839.66,-0.01749315744751723,False,002142,宁波银行,银行,4112.317,3066.892,5.4,8.4
2020-01-09,24.21901405,24.5941795,24.65253857,24.21901405,14367388.0,422920948.89,0.020548668227387542,False,002142,宁波银行,银行,4164.369,3094.881,5.4,8.4
2020-01-10,24.57750548,24.31072116,24.64420156,24.21901405,11164603.0,326359153.74,-0.01159235620531667,False,002142,宁波银行,银行,4163.184,3092.29,5.4,8.4
2020-01-13,24.29404714,24.177329,24.38575425,23.69378242,23975808.0,688898481.66,-0.00550207715398331,False,002142,宁波银行,银行,4203.988,3115.569,5.4,8.4
2020-01-14,24.13564395,23.75214149,24.31072116,23.71879345,22160156.0,636227978.85,-0.017742681476657148,False,002142,宁波银行,银行,4189.886,3106.82,5.4,8.4
2020-01-15,23.83551159,23.55205325,23.87719664,23.41032408,18298178.0,516845775.87,-0.008459690917366917,False,002142,宁波银行,银行,4166.734,3090.037,5.4,8.4
2020-01-16,23.61874933,23.6771084,23.8438486,23.45200913,18336120.0,519452072.94,0.005295687574710503,False,002142,宁波银行,银行,4149.043,3074.081,5.4,8.4
2020-01-17,23.78548953,23.46868315,23.81050056,23.36030202,15583876.0,440070009.75,-0.008841790581461012,False,002142,宁波银行,银行,4154.853,3075.495,5.4,8.4
2020-01-20,23.53537923,23.54371624,23.63542335,23.36863903,16238924.0,457205717.3,0.003192058039341964,False,002142,宁波银行,银行,4185.83,3095.787,5.4,8.4
2020-01-21,23.4269981,23.21023584,23.46034614,23.08518069,15596999.0,434597501.55,-0.014265577158822346,False,002142,宁波银行,银行,4114.308,3052.141,5.4,8.4
2020-01-22,23.06016966,23.12686574,23.32695398,22.76837431,19751062.0,545849458.23,-0.00359842057953337,False,002142,宁波银行,银行,4131.931,3060.754,5.4,8.4
2020-01-23,23.03515863,22.45156793,23.07684368,22.19312062,23061235.0,623693520.16,-0.02963450806317796,False,002142,宁波银行,银行,4003.901,2976.528,5.4,8.4
2020-02-03,20.22558626,21.2593755,21.90966228,20.22558626,41284701.0,1043177368.34,-0.054562454659127006,False,002142,宁波银行,银行,3688.357,2746.605,5.2,8.8
2020-02-04,21.5094858,22.19312062,22.30983876,21.5094858,30200346.0,794352795.13,0.04298436080258492,False,002142,宁波银行,银行,3785.637,2783.287,5.2,8.8
2020-02-05,22.07640248,21.65121497,22.12642454,21.32607158,42994672.0,1118702434.87,-0.02472078729230833,False,002142,宁波银行,银行,3828.527,2818.087,5.2,8.8
2020-02-06,21.65955198,21.55117085,21.65955198,21.24270148,33612537.0,863308553.93,-0.004631424720219131,False,002142,宁波银行,银行,3899.775,2866.509,5.2,8.8
2020-02-07,21.3427456,21.13432035,21.3427456,20.842525,34264149.0,865577451.59,-0.019531870917245956,False,002142,宁波银行,银行,3899.869,2875.963,5.2,8.8
2020-02-10,21.06762427,21.27604952,21.35108261,20.77582892,26759677.0,674369199.77,0.0066837284393970395,False,002142,宁波银行,银行,3916.005,2890.487,5.2,8.8
2020-02-11,21.30939756,21.96802135,22.1764466,21.27604952,43454756.0,1141513686.94,0.03200581651078211,False,002142,宁波银行,银行,3952.464,2901.674,5.2,8.8
2020-02-12,21.83462919,21.80128115,22.01804341,21.58451889,25197068.0,656304630.7,-0.007619084476439405,False,002142,宁波银行,银行,3984.432,2926.899,5.2,8.8
2020-02-13,21.76793311,21.65121497,21.8429662,21.49281178,23273173.0,604031993.63,-0.006907164836274836,False,002142,宁波银行,银行,3959.918,2906.073,5.2,8.8
2020-02-14,21.60119291,22.05139145,22.08473949,21.47613776,27930382.0,733321405.17,0.018314132629651193,False,002142,宁波银行,银行,3987.734,2917.007,5.2,8.8
2020-02-17,22.0930765,22.45156793,22.45156793,21.82629218,25360625.0,673350035.96,0.017984748519199192,False,002142,宁波银行,银行,4077.424,2983.622,5.2,8.8
2020-02-18,22.43489391,22.04305444,22.45156793,21.93467331,23237954.0,616519306.25,-0.018362891840021982,False,002142,宁波银行,银行,4057.51,2984.971,5.2,8.8
2020-02-19,21.94301032,21.89298826,22.27649072,21.8429662,20616475.0,544023478.06,-0.006831146108835363,False,002142,宁波银行,银行,4051.31,2975.401,5.2,8.8
2020-02-20,21.8429662,22.27649072,22.35152381,21.76793311,25884775.0,684352948.17,0.017365479793794963,False,002142,宁波银行,银行,4144.656,3030.154,5.2,8.8
2020-02-21,22.19312062,22.13476155,22.23480567,21.88465125,27242394.0,720207779.45,-0.00638260098049718,False,002142,宁波银行,银行,4149.49,3039.669,5.2,8.8
2020-02-24,21.9263363,21.85130321,22.12642454,21.71791105,25034197.0,657047052.61,-0.012888730352632799,False,002142,宁波银行,银行,4132.838,3031.233,5.2,8.8
2020-02-25,21.65955198,21.47613776,21.7595961,21.26771251,31150371.0,800928352.88,-0.01731811609916219,False,002142,宁波银行,银行,4123.854,3013.05,5.2,8.8
2020-02-26,21.1760054,21.48447477,21.82629218,21.13432035,27065125.0,699669188.31,0.00038812342812071193,False,002142,宁波银行,银行,4073.015,2987.928,5.2,8.8
2020-02-27,21.45946374,21.676226,21.77627012,21.4261157,16960003.0,440236558.86,0.008885513357208453,False,002142,宁波银行,银行,4084.875,2991.328,5.2,8.8
2020-02-28,21.35941962,20.97591716,21.55117085,20.85086201,22816977.0,578851696.46,-0.03284110618924222,False,002142,宁波银行,银行,3940.048,2880.303,5.2,8.8
2020-03-02,21.21769045,22.25147969,22.40988288,21.21769045,46939451.0,1238134148.28,0.05903353158419293,False,002142,宁波银行,银行,4069.666,2970.931,4.3,10.1
2020-03-03,22.36819783,22.40154587,22.63498215,22.05972846,27523448.0,737624384.42,0.0067214592109669825,False,002142,宁波银行,银行,4091.361,2992.896,4.3,10.1
2020-03-04,22.19312062,22.30150175,22.64331916,22.02638042,27569739.0,737431927.09,-0.004475949285384284,False,002142,宁波银行,银行,4115.052,3011.665,4.3,10.1
2020-03-05,22.40988288,23.22690986,23.39365006,22.2598167,44950054.0,1243490930.47,0.04065749500964414,False,002142,宁波银行,银行,4206.725,3071.677,4.3,10.1
2020-03-06,23.08518069,22.91010348,23.46034614,22.78504833,24759915.0,684683544.09,-0.013733500997511047,False,002142,宁波银行,银行,4138.507,3034.511,4.3,10.1
2020-03-09,22.4265569,22.69334122,22.85174441,22.10975052,32220580.0,872184199.84,-0.009506470130828506,False,002142,宁波银行,银行,3997.1325,2943.2907,4.3,10.1
