date,open,close,high,low,volume
2020-01-02,4121.348,4152.24,4172.655,4121.348,18211677184
2020-01-03,4161.218,4144.964,4164.298,4131.864,14282624512
2020-01-06,4120.521,4129.295,4170.638,4102.379,17530995200
2020-01-07,4137.401,4160.227,4161.25,4135.097,13948903168
2020-01-08,4139.631,4112.317,4149.813,4101.98,16758585088
2020-01-09,4145.534,4164.369,4165.657,4143.592,13688632320
2020-01-10,4177.577,4163.184,4180.977,4148.481,11303171840
2020-01-13,4166.925,4203.988,4203.988,4148.6,11969198336
2020-01-14,4215.157,4189.886,4223.507,4188.08,12932078336
2020-01-15,4186.881,4166.734,4193.868,4150.879,10463313664
2020-01-16,4174.817,4149.043,4175.293,4142.179,10026764288
2020-01-17,4162.193,4154.853,4177.028,4141.644,9872568320
2020-01-20,4170.736,4185.83,4185.962,4149.487,12240914688
2020-01-21,4165.02,4114.308,4165.02,4113.325,13052750592
2020-01-22,4093.8,4131.931,4141.177,4046.486,12675876352
2020-01-23,4093.322,4003.901,4103.524,3972.393,16035760384
2020-02-03,3639.908,3688.357,3732.157,3639.908,15755964672
2020-02-04,3652.003,3785.637,3786.862,3652.003,21393332736
2020-02-05,3801.099,3828.527,3866.01,3781.613,17492552448
2020-02-06,3841.753,3899.775,3914.915,3806.96,17646223616
2020-02-07,3879.553,3899.869,3899.883,3849.712,15173175808
2020-02-10,3872.373,3916.005,3920.166,3861.006,14840696832
2020-02-11,3926.42,3952.464,3970.522,3915.707,14344167424
2020-02-12,3945.666,3984.432,3984.432,3940.666,12671032064
2020-02-13,3985.875,3959.918,3999.549,3950.142,14500184320
2020-02-14,3954.234,3987.734,4001.562,3954.023,14323980288
2020-02-17,3999.651,4077.424,4077.446,3999.651,18277896960
2020-02-18,4069.831,4057.51,4076.388,4027.785,16323621888
2020-02-19,4049.586,4051.31,4085.17,4042.845,16904644096
2020-02-20,4062.896,4144.656,4148.528,4055.81,21223262464
2020-02-21,4134.874,4149.49,4184.437,4130.167,21721360384
2020-02-24,4131.836,4132.838,4149.01,4097.175,21286930432
2020-02-25,4066.302,4123.854,4126.707,4020.907,24416783104
2020-02-26,4070.099,4073.015,4132.781,4061.125,26109406208
2020-02-27,4084.078,4084.875,4110.527,4067.44,18129097984
2020-02-28,3988.727,3940.048,4031.145,3928.066,23027509248
2020-03-02,3968.843,4069.666,4092.539,3968.843,21931355904
2020-03-03,4125.135,4091.361,4147.652,4067.909,21936977664
2020-03-04,4078.499,4115.052,4115.261,4060.729,18242472960
2020-03-05,4150.21,4206.725,4215.851,4127.038,23182311424
2020-03-06,4158.202,4138.507,4181.31,4135.39,17247571712
2020-03-09,4063.076,3997.1325,4063.076,3995.1313,20810203500
2020-03-10,3975.2288,4082.7315,4093.0024,3954.7506,19741640200
2020-03-11,4090.9348,4028.4289,4091.2704,4028.3964,16165611100
2020-03-12,3976.1139,3950.9111,3987.4336,3926.2704,15706045800
2020-03-13,3771.0139,3895.3128,3937.1806,3765.1479,18829672200
2020-03-16,3899.8598,3727.8398,3899.8598,3720.5127,18596826000
2020-03-17,3739.7833,3709.6822,3786.8908,3618.307,16624612900
2020-03-18,3729.6853,3636.2565,3775.8506,3636.2565,15503754700
2020-03-19,3623.789,3589.0926,3647.9874,3503.1866,18080740700
2020-03-20,3629.5126,3653.2239,3663.9517,3588.7766,13960300000
2020-03-23,3542.6837,3530.3058,3585.8014,3523.7877,13710879000
2020-03-24,3598.6548,3625.1146,3627.7592,3545.4524,14310302100
2020-03-25,3711.4753,3722.5181,3732.6536,3685.9942,15349595800
2020-03-26,3692.6083,3698.0472,3736.2536,3681.2668,11231066500
2020-03-27,3746.3914,3710.0605,3758.7827,3709.9213,12406099500
2020-03-30,3657.4624,3674.1108,3690.6388,3637.5853,12687667300
2020-03-31,3708.1404,3686.1551,3716.0707,3676.2024,11145302500
2020-04-01,3682.2966,3675.0758,3731.7799,3670.9653,11935262000
2020-04-02,3656.3225,3734.5306,3734.5306,3652.3167,11516820900
2020-04-03,3721.4815,3713.2183,3738.8323,3698.9822,9982508300
2020-04-07,3779.9076,3798.0214,3803.6286,3772.2054,14277803000
2020-04-08,3776.4171,3780.3445,3793.0023,3767.2924,11138951300
2020-04-09,3798.4879,3792.8105,3801.7245,3785.3116,10048503200
2020-04-10,3794.8429,3769.1782,3824.7441,3758.9599,10244495600
2020-04-13,3751.7093,3753.2566,3769.8764,3740.1936,7905334300
2020-04-14,3777.8343,3825.6991,3825.7599,3764.9838,11063758500
2020-04-15,3820.8506,3797.3623,3829.8009,3793.4402,10846198400
2020-04-16,3777.7986,3802.3806,3807.3569,3774.5585,9594796500
2020-04-17,3831.9232,3839.4871,3863.4521,3821.4201,13200430100
2020-04-20,3845.4598,3853.4551,3853.7984,3831.553,10001311500
2020-04-21,3838.2314,3808.0474,3838.2314,3779.9967,10292188800
2020-04-22,3789.1297,3839.3834,3839.3834,3782.2149,8589946400
2020-04-23,3851.9132,3829.7525,3857.4709,3826.5565,9550845000
2020-04-24,3826.3116,3796.9721,3827.212,3787.0714,9484413500
2020-04-27,3808.0171,3822.769,3842.8706,3793.7655,9546273500
2020-04-28,3835.348,3849.1465,3859.6754,3768.2,12209347600
2020-04-29,3837.5135,3867.032,3880.7444,3833.7164,9585459000
2020-04-30,3880.4094,3912.5772,3921.7004,3880.4094,13291712500
2020-05-06,3867.2587,3936.2539,3937.6909,3865.9875,13985567500
2020-05-07,3937.5918,3924.8946,3941.4833,3915.9048,10551464600
2020-05-08,3942.9972,3963.6217,3979.6627,3935.9805,11694334100
2020-05-11,3974.7605,3960.1803,3998.0972,3944.5037,12267380300
