date,open,close,high,low,volume
2020-01-02,3066.335,3085.197,3098.1,3066.335,29247020800
2020-01-03,3089.022,3083.785,3093.819,3074.517,26149666816
2020-01-06,3070.908,3083.408,3107.203,3065.308,31257584128
2020-01-07,3085.488,3104.801,3105.45,3084.329,27658311168
2020-01-08,3094.238,3066.892,3094.238,3059.131,29787255296
2020-01-09,3082.639,3094.881,3097.329,3080.131,24343564800
2020-01-10,3102.293,3092.29,3105.224,3081.396,21044246272
2020-01-13,3091.493,3115.569,3115.569,3075.383,21062100480
2020-01-14,3120.666,3106.82,3127.169,3105.604,22997377024
2020-01-15,3103.174,3090.037,3107.942,3082.042,20231302400
2020-01-16,3095.734,3074.081,3096.371,3070.884,20337547520
2020-01-17,3081.464,3075.495,3091.951,3067.252,19030429952
2020-01-20,3082.113,3095.787,3096.31,3070.48,21049334016
2020-01-21,3085.789,3052.141,3085.789,3051.23,23483073792
2020-01-22,3038.486,3060.754,3069.252,3006.267,22385286400
2020-01-23,3037.952,2976.528,3045.04,2955.346,27276323328
2020-02-03,2716.697,2746.605,2766.577,2716.697,21591210240
2020-02-04,2685.269,2783.287,2786.164,2685.269,36404620032
2020-02-05,2792.371,2818.087,2842.742,2778.864,30976182272
2020-02-06,2826.885,2866.509,2876.587,2807.609,31639214336
2020-02-07,2858.932,2875.963,2875.963,2838.77,30947964160
2020-02-10,2860.499,2890.487,2891.847,2851.05,29492978432
2020-02-11,2894.541,2901.674,2913.815,2882.242,26916833536
2020-02-12,2895.556,2926.899,2926.899,2892.424,24873342976
2020-02-13,2927.144,2906.073,2935.406,2901.242,27480484352
2020-02-14,2899.865,2917.007,2926.942,2899.573,25065062656
2020-02-17,2924.991,2983.622,2983.637,2924.991,31319800832
2020-02-18,2981.409,2984.971,2990.6,2960.775,31166591232
2020-02-19,2979.522,2975.401,2998.271,2971.821,31514115072
2020-02-20,2981.88,3030.154,3031.37,2968.445,34573288192
2020-02-21,3022.245,3039.669,3058.898,3020.141,36455727616
2020-02-24,3027.892,3031.233,3042.182,3007.355,37043004416
2020-02-25,2982.069,3013.05,3016.945,2943.716,44162276096
2020-02-26,2978.419,2987.928,3028.778,2974.942,46904955136
2020-02-27,2992.491,2991.328,3009.457,2980.477,35052365824
2020-02-28,2924.64,2880.303,2948.126,2878.544,40121691392
2020-03-02,2899.31,2970.931,2982.506,2899.31,36733336832
2020-03-03,3006.888,2992.896,3026.842,2976.623,41010804736
2020-03-04,2981.806,3011.665,3012.003,2974.358,35333827840
2020-03-05,3036.154,3071.677,3074.257,3022.926,44542580736
2020-03-06,3039.939,3034.511,3052.443,3029.463,36206153216
2020-03-09,2987.1805,2943.2907,2989.2051,2940.7138,41456073600
2020-03-10,2918.9347,2996.7618,3000.2963,2904.7989,39329664800
2020-03-11,3001.7616,2968.5174,3010.0286,2968.5174,35247097000
2020-03-12,2936.0163,2923.4856,2944.4651,2906.2838,30777845700
2020-03-13,2804.2322,2887.4265,2910.8812,2799.9841,36645043600
2020-03-16,2897.3009,2789.2537,2898.0349,2784.6616,35187866500
2020-03-17,2796.284,2779.6407,2826.9068,2715.2213,30614967700
2020-03-18,2792.3221,2728.7563,2815.8737,2728.7563,29115985200
2020-03-19,2719.4063,2702.1296,2736.82,2646.8048,30230274700
2020-03-20,2727.0186,2745.6182,2751.8964,2702.4933,25201950700
2020-03-23,2677.591,2660.1674,2703.3295,2656.5008,24982025000
2020-03-24,2703.0193,2722.4381,2723.4066,2667.1333,25702193000
2020-03-25,2775.3032,2781.5913,2788.6354,2757.8016,27314446600
2020-03-26,2761.8961,2764.9109,2788.5038,2753.4282,23408402200
2020-03-27,2792.9843,2772.2033,2805.5479,2771.7563,24076406600
2020-03-30,2739.7191,2747.2138,2759.0989,2723.0543,23970660400
2020-03-31,2767.3072,2750.2962,2771.1683,2743.1154,21859867400
2020-04-01,2743.5409,2734.5215,2773.3641,2731.0794,21725342700
2020-04-02,2720.2284,2780.6379,2780.6379,2719.9043,21786460000
2020-04-03,2773.5764,2763.9874,2780.5868,2754.0731,20083740400
2020-04-07,2806.9676,2820.7634,2823.2767,2801.8386,27019818600
2020-04-08,2805.9166,2815.3686,2823.2139,2800.2963,24351530500
2020-04-09,2825.8393,2825.9036,2832.395,2820.4326,23818484300
2020-04-10,2827.1873,2796.6312,2833.0148,2789.9756,23345476800
2020-04-13,2784.5979,2783.0476,2792.8906,2774.0808,17712455400
2020-04-14,2794.801,2827.283,2827.2981,2789.4279,20269656900
2020-04-15,2826.6618,2811.1741,2829.7503,2808.7039,20562114600
2020-04-16,2798.4295,2819.935,2823.3382,2796.8388,20300377300
2020-04-17,2835.5581,2838.4945,2854.9599,2830.0217,24573675000
2020-04-20,2840.4085,2852.5528,2852.99,2833.2615,21184707800
2020-04-21,2842.2372,2827.0133,2842.2372,2808.0214,23323587000
2020-04-22,2814.0661,2843.9804,2843.9804,2808.4819,21732000000
2020-04-23,2850.5104,2838.4994,2853.6357,2835.8961,24877903700
2020-04-24,2834.9387,2808.5293,2834.9387,2802.4989,23518507600
2020-04-27,2812.2422,2815.4947,2832.6662,2802.9579,21013098100
2020-04-28,2819.9914,2810.0243,2821.745,2758.2459,25387274500
2020-04-29,2801.383,2822.4424,2831.7642,2800.7379,20206180700
2020-04-30,2832.3843,2860.0822,2865.59,2832.3843,24245527800
2020-05-06,2831.6326,2878.1402,2879.2634,2830.6536,24982661600
2020-05-07,2876.4727,2871.5232,2882.0222,2864.5813,22673695700
2020-05-08,2882.7078,2895.3444,2903.7967,2879.2034,22682207500
2020-05-11,2901.5739,2894.802,2914.2838,2884.3806,22512041000
2020-05-12,2894.6171,2891.5564,2897.9018,2871.23,19708298500
2020-05-13,2882.9552,2898.0495,2900.2587,2875.5354,18506131000
2020-05-14,2887.0577,2870.3422,2887.0577,2869.1832,19777620200
2020-05-15,2880.7067,2868.4587,2884.2199,2863.3698,18898359200
2020-05-18,2872.5244,2875.4176,2889.9795,2862.2709,22602288200
2020-05-19,2897.6867,2898.576,2900.2187,2887.5768,19722240500
2020-05-20,2896.4657,2883.7378,2896.4657,2876.1766,21051998500
2020-05-21,2890.7213,2867.9237,2891.5177,2864.2073,20353203800
2020-05-22,2863.0462,2813.7654,2863.0462,2808.0177,20906371200
2020-05-25,2816.241,2817.9697,2821.4978,2802.4653,17288555700
2020-05-26,2827.8967,2846.5473,2848.3371,2825.901,17456236900
2020-05-27,2847.3198,2836.8036,2848.9965,2831.9281,19814934300
2020-05-28,2838.2072,2846.2217,2861.9241,2820.1455,20754601900
2020-05-29,2835.584,2852.3512,2855.3756,2829.6271,20679280400
2020-06-01,2871.9641,2915.4311,2917.1508,2871.9641,26019605000
2020-06-02,2916.3168,2921.398,2926.3588,2909.1277,25610804900
2020-06-03,2930.3906,2923.3711,2942.7597,2922.6612,25566398000
2020-06-04,2931.8376,2919.2506,2932.9677,2910.7516,22660587300
2020-06-05,2923.1891,2930.7993,2930.7993,2909.1181,21736067300
2020-06-08,2941.9816,2937.7712,2950.0656,2934.2103,23112436000
2020-06-09,2939.5351,2956.1116,2957.1186,2932.9385,20904858500
