date,open,close,high,low,volume,amount
2020-01-02,33.87011265,33.9698106,34.35953895,33.58008225,12457719,467238469.71
2020-01-03,34.12388925,33.70697055,34.1329527,33.58008225,7591739,282690163.06
2020-01-06,33.6253995,33.39881325,33.7885416,33.00002145,10597786,391483135.12
2020-01-07,33.534765,34.1692065,34.3323486,33.4441305,10722076,401789986.94
2020-01-08,33.94262025,33.76135125,34.3686024,33.6253995,8304045,311016663.68
2020-01-09,33.8610492,33.7704147,34.3142217,33.61633605,8958800,334956852.37
2020-01-10,33.7704147,34.06950855,34.1510796,33.2447346,11429611,426242464.75
2020-01-13,33.97887405,34.3686024,34.4048562,33.716034,9696946,366171502.56
2020-01-14,34.4592369,33.9154299,34.64956935,33.8066685,9811365,370235023.42
2020-01-15,33.897303,33.534765,34.078572,33.4441305,8909396,330509613.24
2020-01-16,33.70697055,33.4078767,33.74322435,33.36255945,6214603,229431792.59
2020-01-17,33.52570155,33.6979071,33.94262025,33.2628615,8007485,297425845.51
2020-01-20,33.85198575,35.2205667,35.8006275,33.70697055,19451122,744954260.09
2020-01-21,35.33839155,35.3112012,36.0000234,35.0030439,16866991,660998210.87
2020-01-22,34.99398045,34.81271145,35.3293281,33.8066685,16135247,617014221.72
2020-01-23,34.81271145,35.5468509,37.0695105,34.43204655,25060037,992080405.15
2020-02-03,34.3323486,35.0392977,37.3232871,33.5528919,30142904,1179881851.57
2020-02-04,35.2386936,35.166186,36.072531,33.81573195,29626193,1142692710.52
2020-02-05,35.2386936,38.1571245,38.6828046,34.48642725,50790449,2034385107.46
2020-02-06,38.47434525,41.10274575,41.71906035,37.47736575,56902189,2539617933.76
2020-02-07,40.4954946,40.64957325,40.9124133,39.3172461,35582491,1574834983.79
2020-02-10,40.64957325,40.9849209,41.22963405,39.70697445,28070746,1251420055.08
2020-02-11,41.6012355,40.16014695,41.69187,40.08763935,22785543,1025327023.04
2020-02-12,39.7704186,39.7885455,40.9124133,39.38069025,23922333,1049063729.56
2020-02-13,39.81573585,38.8640736,39.81573585,38.7734391,19539920,843046284.18
2020-02-14,38.9365812,38.49247215,39.14504055,38.1571245,24377693,1037416645.58
2020-02-17,39.697911,42.00909075,42.09972525,39.18129435,48435511,2196094566.59
2020-02-18,41.69187,41.42902995,42.1269156,40.23265455,30412352,1386997775.03
2020-02-19,41.68280655,42.2538039,43.2145296,41.01211125,32016906,1496732343.35
2020-02-20,42.3081846,42.40788255,43.4864331,41.82782175,22355873,1046650834.12
2020-02-21,42.00909075,41.50153755,42.779484,41.30214165,22783427,1053256475.18
2020-02-24,41.46528375,41.6556162,42.48039015,40.77646155,21436011,979182006.1
2020-02-25,40.8036519,44.98190235,45.2809962,40.785525,43233568,2073065134.28
2020-02-26,43.78552695,44.00304975,44.76437955,43.40486205,26308943,1277898903.6
2020-02-27,44.41996845,45.3535038,45.9154377,43.24171995,26821356,1323865818.35
2020-02-28,44.05743045,44.36558775,45.0816003,43.2689103,23363100,1135057528.72
2020-03-02,44.7190623,45.34444035,45.7704225,44.0302401,28046645,1398052603.79
2020-03-03,46.08764325,43.5770676,46.23265845,43.07857785,36318936,1782967932.5
2020-03-04,43.7764635,43.62238485,44.36558775,42.6163419,22270334,1069416098.63
2020-03-05,43.9577325,44.048367,44.2658898,43.142022,19305358,935169880.78
2020-03-06,43.3595448,43.42298895,43.9396056,43.22359305,13823772,663903185.87
2020-03-09,44.592174,42.598215,44.85501405,42.598215,23889014,1142902579.47
2020-03-10,42.3988191,42.64353225,43.0695144,41.08461885,24730610,1148169234.4
2020-03-11,42.7251033,41.70093345,42.8701185,41.69187,12986318,603428696.73
2020-03-12,41.06649195,40.5861291,41.329332,40.37766975,14757631,664566740.56
2020-03-13,38.1571245,40.0241952,40.8761595,38.1571245,20219776,880287487.71
2020-03-16,40.1510835,38.972835,41.2024437,38.972835,19536731,865789486.49
2020-03-17,39.87918,38.8096929,40.0423221,37.8670941,15013758,642471040.91
2020-03-18,39.154104,39.2084847,40.48643115,38.8822005,18891771,830460613.67
2020-03-19,40.2960987,40.6948905,41.2386975,39.6072765,31540045,1409454636.2
2020-03-20,41.35652235,41.0030478,41.68280655,40.41392355,15775668,714939508.59
2020-03-23,39.516642,40.35954285,40.8761595,39.0272157,11738017,520942630.06
2020-03-24,41.148063,40.6586367,41.33839545,39.3716268,15003393,667036108.47
2020-03-25,41.37464925,42.22661355,42.5800881,40.97585745,21219084,983114737.79
2020-03-26,42.08159835,41.6012355,42.08159835,41.329332,12006332,552350828.55
2020-03-27,42.28099425,41.329332,42.416946,41.2749513,10842648,499901114.46
2020-03-30,41.3837127,42.77042055,43.00607025,40.8761595,23614844,1106040791.02
2020-03-31,43.1238951,42.8157378,43.83990765,42.35350185,19639118,932311975.55
2020-04-01,42.598215,41.55591825,42.598215,41.53779135,15600909,723200415.18
2020-04-02,41.2386975,41.9456466,41.97283695,41.08461885,11638501,533659148.92
2020-04-03,41.99096385,42.87918195,43.1782758,41.873139,14598454,689248089.98
2020-04-07,43.5770676,44.34746085,44.9365851,43.18733925,19632835,958846643.25
2020-04-08,44.1208746,44.1390015,44.85501405,43.78552695,10794539,525954289.64
2020-04-09,44.410905,44.048367,44.6646816,43.83990765,9158880,446584890.62
2020-04-10,44.1390015,43.62238485,44.3021436,43.0513875,9394235,452645052.14
2020-04-13,43.42298895,44.410905,44.87314095,43.1601489,12497037,611597083.99
2020-04-14,44.58311055,44.27495325,44.7371892,43.867098,13336572,650830896.51
2020-04-15,44.410905,43.42298895,44.5559202,43.3957986,10337189,499349010.73
2020-04-16,43.142022,43.2326565,43.8489711,42.78854745,9752074,465359723.7
2020-04-17,43.67676555,44.1027477,44.63749125,43.40486205,15606155,758329196.9
2020-04-20,45.29005965,44.14806495,45.30818655,43.867098,14293444,700263424.16
2020-04-21,43.91241525,43.44111585,43.9396056,42.9063723,12483438,596854144.72
2020-04-22,43.0332606,44.41996845,44.5559202,42.84292815,12651943,612087785.14
2020-04-23,44.61936435,44.43809535,45.0272196,44.1208746,13379613,656982792.17
2020-04-24,42.85233528,43.1075172,43.63610832,42.56981244,22284715,1050394987.2
2020-04-27,43.1075172,42.84322164,43.4264946,42.25083504,11160430,524633395.46
2020-04-28,42.75208524,43.8366084,44.51101776,42.03210768,15846199,756226748.1
2020-04-29,43.6999038,42.6974034,43.95508572,42.55158516,11172159,529065510.57
2020-04-30,42.96169896,42.64272156,43.1530854,42.4695624,12163330,570363424.8
2020-05-06,42.3328578,42.72474432,42.86144892,41.1936528,22574139,1041902546.47
2020-05-07,42.6518352,42.03210768,42.6518352,41.8771758,13557975,628317124.91
2020-05-08,42.2872896,41.84072124,42.36931236,41.79515304,16491236,759747927.96
2020-05-11,42.1050168,42.9708126,43.49029008,42.1050168,29399527,1390210292.44
2020-05-12,43.1075172,42.59715336,43.517631,42.38753964,18280679,860872866.07
2020-05-13,42.61538064,42.44222148,42.99815352,42.02299404,13308587,619224939.0
2020-05-14,42.18703956,41.72224392,42.45133512,41.53085748,15703280,721084380.55
2020-05-15,42.03210768,41.4214938,42.1050168,41.30301648,14499611,661610159.47
2020-05-18,41.467062,41.5581984,41.98653948,41.1480846,15067718,687918301.37
2020-05-19,42.34197144,42.72474432,43.00726716,42.11413044,27097463,1266852181.84
2020-05-20,42.84322164,41.73135756,43.28979,41.63110752,15996493,741452215.73
2020-05-21,41.8771758,41.01138,42.00476676,40.76531172,21420652,964542803.45
2020-05-22,41.01138,40.4645616,41.08428912,40.3734252,11258659,501854697.33
2020-05-25,40.53747072,40.63772076,40.72885716,39.89040228,7048132,312459141.02
2020-05-26,40.70151624,40.90201632,41.08428912,40.56481164,11804950,529277750.83
2020-05-27,41.08428912,40.58303892,41.1025164,40.54658436,7797484,349204450.45
2020-05-28,40.86556176,40.58303892,40.86556176,39.67167492,10459257,462099798.91
2020-05-29,40.57392528,41.53997112,42.00476676,40.27317516,25468649,1157670701.17
2020-06-01,42.1050168,42.4695624,43.1075172,42.1050168,18467049,865491306.29
2020-06-02,43.1530854,44.2922904,45.91451832,42.84322164,53241154,2602508385.62
2020-06-03,44.96669976,45.340359,45.67756368,44.31963132,29849908,1477546706.76
2020-06-04,45.49529088,45.5682,45.91451832,45.0213816,19656928,982467740.23
2020-06-05,45.58642728,45.91451832,46.16970024,45.16719984,19460295,978032611.74
2020-06-08,46.33374576,46.8896778,47.53674624,46.22438208,24772773,1277772868.22
2020-06-09,47.01726876,47.8010418,48.12913284,46.49779128,20796924,1083515181.2
2020-06-10,47.84661,48.72151944,49.10429232,47.32713252,19800861,1052964860.91
2020-06-11,48.69417852,48.28406472,49.20454236,47.81015544,14591703,776649419.67
2020-06-12,47.35447344,48.56658756,49.59642888,46.935246,25956221,1387984752.55
2020-06-15,48.73974672,50.12502,51.16397496,48.73974672,22301789,1233961321.92
2020-06-16,51.036384,50.11590636,51.10017948,49.6237698,15210172,835721215.75
2020-06-17,50.11590636,50.6718384,51.33713412,50.0794518,13813411,767455920.51
2020-06-18,50.38020192,51.00904308,51.036384,49.87895172,13631457,758923544.24
2020-06-19,51.2186568,51.02727036,51.63788424,50.7629748,18290041,1028321639.27
2020-06-22,51.036384,49.5782016,51.14574768,48.94936044,22051728,1200443246.22
2020-06-23,50.12502,50.69006568,51.41915688,49.74224712,23666156,1309594965.0
2020-06-24,50.4895656,50.3072928,50.8996794,50.0338836,12973854,718383909.45
2020-06-29,50.47133832,49.8516108,51.1730886,49.11340596,15034370,819433532.23
2020-06-30,50.23438368,49.8516108,50.64449748,49.55997432,16074247,882711360.92
2020-07-01,49.7604744,50.28906552,50.8996794,48.6212694,26045531,1414778043.27
2020-07-02,50.6262702,50.59892928,51.8110434,50.01565632,33479464,1864493500.56
2020-07-03,50.7629748,51.24599772,51.264225,50.04299724,21382809,1190320707.96
2020-07-06,51.5832024,51.74724792,52.33052088,50.8541112,36466790,2064602670.52
2020-07-07,51.78370248,55.92129504,56.90556816,50.97258852,39343556,2362585951.78
2020-07-08,56.12179512,56.13090876,56.13090876,53.770476,29056468,1750008529.2
2020-07-09,56.276727,56.1400224,57.74402304,55.55674944,20236666,1253888146.47
2020-07-10,55.7299086,59.1019554,59.6487738,55.35624936,29988431,1925988592.77
2020-07-13,58.6007052,60.55102416,61.87250196,58.34552328,29173608,1927565414.43
2020-07-14,59.6032056,59.89484208,61.36213812,59.06550084,22022220,1444390108.85
2020-07-15,60.2411604,60.54191052,61.3347972,59.5120692,24742998,1643300977.22
2020-07-16,60.56925144,58.02654588,62.57425224,57.72579576,29663349,1953794853.85
2020-07-17,58.35463692,57.71668212,59.23866,57.04227276,22533175,1437405202.95
2020-07-20,59.0563872,59.5120692,60.9246834,58.50045516,22775169,1492169834.36
2020-07-21,60.25938768,61.62643368,63.0208206,60.20470584,28214090,1909166442.92
2020-07-22,61.744911,61.26188808,63.03904788,60.8791152,20501583,1397455003.03
2020-07-23,60.2411604,60.35963772,61.82693376,59.70345564,19807816,1311893394.58
2020-07-24,59.694342,57.9171822,60.35963772,57.42504564,23585190,1518951379.29
2020-07-27,59.0563872,61.32568356,62.18236572,58.70095524,32750052,2189688985.92
2020-07-28,61.972752,61.95452472,62.428434,60.85177428,19606051,1324968282.53
