date,open,close,high,low,volume,amount
2020-01-02,15.6515302,15.7663336,15.83330225,15.52715985,38667950,635442359.0
2020-01-03,15.8428692,15.7089319,16.00550735,15.5749946,36160206,595202826.0
2020-01-06,15.50802595,15.81416835,15.9576726,15.45062425,44477754,732201954.0
2020-01-07,15.87157005,16.3594845,16.54125655,15.689798,74311979,1259252804.0
2020-01-08,16.3594845,16.1490116,16.48385485,16.10117685,55709638,946891862.0
2020-01-09,16.3594845,17.22051,17.55535325,16.263815,110960306,1966201509.0
2020-01-10,17.26834475,17.2396439,17.40228205,17.05787185,57282098,1030287747.0
2020-01-13,17.22051,17.63188885,17.7179914,17.03873795,63051197,1147649841.0
2020-01-14,17.5457863,17.0865727,17.67015665,17.0674388,58313847,1055632005.0
2020-01-15,16.96220235,16.8569659,17.05787185,16.71346165,42684754,751209233.0
2020-01-16,16.94306845,16.7421625,17.03873795,16.71346165,28140763,494982653.0
2020-01-17,16.82826505,16.7230286,17.0483049,16.646493,32380771,569571031.0
2020-01-20,16.61779215,17.1057066,17.19180915,16.56039045,42116886,745221799.0
2020-01-21,17.03873795,16.77086335,17.0674388,16.69432775,29439623,518805983.0
2020-01-22,16.63692605,16.9526354,17.17267525,16.3594845,39303382,688164674.0
2020-01-23,16.7804303,15.8620031,16.8760998,15.5941285,50231524,852446281.0
2020-02-03,14.2738894,14.2738894,14.2738894,14.2738894,8575600,127947952.0
2020-02-04,13.0875876,13.99644785,14.2164877,13.0875876,57536246,836749431.0
2020-02-05,14.0634165,14.159086,14.6182996,14.0634165,42868476,642544900.0
2020-02-06,14.20692075,14.35999195,14.5034962,14.0060148,45737394,681746145.0
2020-02-07,14.35999195,14.5991657,14.6182996,14.20692075,38689155,584597415.0
2020-02-10,14.4460945,14.8861742,14.97227675,14.350425,35691930,550203600.0
2020-02-11,14.8861742,14.72353605,15.0009776,14.60873265,31731223,489834605.0
2020-02-12,14.7139691,14.89574115,14.99141065,14.58959875,35719666,552216548.0
2020-02-13,14.8287725,14.74266995,15.06794625,14.7139691,33602223,522394822.0
2020-02-14,14.6757013,14.7713708,14.9818437,14.6565674,34502297,534312715.0
2020-02-17,14.8861742,15.3453878,15.39322255,14.8861742,52359829,830379851.0
2020-02-18,15.45062425,15.7280658,15.7471997,15.18274965,52735817,855131717.0
2020-02-19,15.5941285,15.5175929,15.89070395,15.498459,43969580,721129155.0
2020-02-20,15.5941285,15.7089319,15.7663336,15.3262539,45303573,738030155.0
2020-02-21,15.96723955,16.1681455,16.46472095,15.94810565,67002639,1136692894.0
2020-02-24,16.25424805,17.0674388,17.21094305,16.17771245,89901936,1580312906.0
2020-02-25,16.54125655,17.2587778,17.45968375,16.08204295,113795775,2005935396.0
2020-02-26,16.9335015,17.5075185,18.5024813,16.88566675,142985088,2671859263.0
2020-02-27,17.9093304,17.1248405,18.0432677,17.01960405,79098324,1437453089.0
2020-02-28,16.263815,15.75676665,16.6273591,15.69936495,85206428,1434505361.0
2020-03-02,16.0916099,17.01960405,17.22051,15.7471997,84046764,1454886135.0
2020-03-03,17.4692507,16.84739895,17.88062955,16.646493,98440876,1784669297.0
2020-03-04,16.46472095,16.73259555,16.86653285,16.2255472,54012107,936684607.0
2020-03-05,17.411849,17.6605897,17.82322785,16.9335015,111447489,2024804804.0
2020-03-06,17.30661255,17.2396439,17.5649202,17.23007695,63379009,1149783542.0
2020-03-09,16.86653285,17.0100371,17.72755835,16.75172945,82222594,1481238155.0
2020-03-10,16.88566675,18.7129542,18.7129542,16.69432775,143556854,2682199616.0
2020-03-11,19.92795685,19.46874325,20.5880764,19.33480595,283417920,5954596607.0
2020-03-12,19.899256,20.67417895,20.67417895,19.4209085,234772479,4911108599.0
2020-03-13,19.83228735,20.0714611,21.19079425,19.3443729,226399962,4806008401.0
2020-03-16,20.0714611,18.41637875,20.0714611,18.1963389,163395099,3279402945.0
2020-03-17,18.95212795,19.516578,19.7461848,17.9667321,159067916,3162515090.0
2020-03-18,19.27740425,18.4259457,20.04276025,18.35897705,150942998,3037361808.0
2020-03-19,18.3111423,19.39220765,19.73661785,18.07196855,139754205,2748427932.0
2020-03-20,19.5739797,19.1339,19.66008225,18.81819065,105975092,2129770226.0
2020-03-23,18.4450796,18.51204825,19.4209085,18.26330755,93274985,1836548627.0
2020-03-24,19.02866355,17.63188885,19.08606525,16.6656269,152805861,2836222544.0
2020-03-25,17.985866,17.5075185,17.985866,17.22051,104189012,1911167970.0
2020-03-26,17.22051,17.21094305,17.51708545,16.88566675,72074136,1296028963.0
2020-03-27,17.4692507,16.837832,17.4692507,16.837832,60247285,1079572282.0
2020-03-30,16.3594845,15.83330225,16.455154,15.64196325,81622855,1361295567.0
2020-03-31,16.0533421,15.4793251,16.1490116,15.43149035,57480661,951019732.0
2020-04-01,15.4027895,15.46975815,15.9002709,15.33582085,51690446,844794771.0
2020-04-02,15.60369545,16.2064133,16.23511415,15.48889205,71168133,1180376040.0
2020-04-03,16.072476,15.7089319,16.1490116,15.689798,46766186,774661437.0
2020-04-07,16.12031075,16.072476,16.2064133,15.881137,52644848,883411727.0
2020-04-08,15.9385387,16.54125655,16.837832,15.881137,73476814,1266345234.0
2020-04-09,16.5508235,16.455154,16.6847608,16.31164975,46831032,806437477.0
2020-04-10,16.31164975,15.7854675,16.455154,15.71849885,49519061,827295635.0
2020-04-13,15.5941285,15.45062425,15.7089319,15.3453878,28291027,457386526.0
2020-04-14,15.5941285,15.881137,15.881137,15.54629375,33104701,543809563.0
2020-04-15,15.96723955,15.7089319,16.0342082,15.6323963,36257355,600493019.0
2020-04-16,15.689798,16.10117685,16.19684635,15.43149035,55666907,928464007.0
2020-04-17,16.25424805,16.0916099,16.44558705,16.0342082,56900903,965418585.0
2020-04-20,16.1872794,16.50298875,16.5316896,16.04377515,50199438,857951186.0
2020-04-21,16.3594845,16.98133625,17.1057066,16.2446811,73132087,1273817920.0
2020-04-22,16.73259555,16.8760998,17.0674388,16.67519385,40376093,711175138.0
2020-04-23,16.8760998,16.38818535,16.92393455,16.3403506,40663764,704646470.0
2020-04-24,16.38818535,16.0150743,16.67519385,15.9576726,33012183,561220662.0
2020-04-27,15.9768065,15.94810565,16.2829489,15.90983785,23658842,397602226.0
2020-04-28,15.94810565,15.39322255,15.9768065,14.924442,44117781,710861808.0
2020-04-29,15.37408865,15.4027895,15.58456155,15.25928525,20767549,335331445.0
2020-04-30,15.39322255,15.9002709,16.0533421,15.30712,40158816,663121330.0
2020-05-06,15.689798,16.50298875,16.50298875,15.689798,43376639,732350420.0
2020-05-07,16.7612964,16.4360201,17.07700575,16.40731925,53654608,937274223.0
2020-05-08,16.50298875,16.5508235,16.7804303,16.455154,44309314,770287284.0
2020-05-11,16.75172945,17.22051,17.4501168,16.65605995,73471513,1314386134.0
2020-05-12,17.07700575,16.86653285,17.07700575,16.57952435,41469012,729841326.0
2020-05-13,16.71346165,16.6273591,16.80913115,16.5508235,26818129,467211136.0
2020-05-14,16.5316896,16.4360201,16.6847608,16.34991755,29687982,512089512.0
2020-05-15,16.5508235,16.56039045,16.80913115,16.4742879,30556170,530875196.0
2020-05-18,16.6082252,15.92897175,16.65605995,15.92897175,42568551,718660667.0
2020-05-19,16.12031075,16.1298777,16.2064133,15.90983785,27548684,462484224.0
2020-05-20,16.0916099,16.19684635,16.48385485,15.83330225,32616473,551124934.0
2020-05-21,16.21598025,16.4742879,16.6656269,16.1681455,43936906,754312213.0
2020-05-22,16.5508235,16.4934218,16.9143676,16.31164975,57888299,1008899333.0
2020-05-25,16.38818535,15.689798,16.38818535,15.64196325,39042369,647296041.0
2020-05-26,15.79503445,15.9194048,15.92897175,15.77590055,18206445,301738095.0
2020-05-27,15.90983785,15.60369545,15.9194048,15.48889205,23702976,387755972.0
2020-05-28,15.48889205,15.5749946,15.71849885,15.30712,20633060,333870232.0
2020-05-29,15.498459,15.7089319,15.7280658,15.43149035,20076372,327575121.0
2020-06-01,15.8237353,16.2064133,16.3403506,15.79503445,34474389,580955299.0
2020-06-02,16.263815,16.19684635,16.38818535,16.08204295,27931417,473317812.0
2020-06-03,16.21598025,16.15857855,16.40731925,16.04377515,32812018,556471743.0
2020-06-04,16.19684635,15.92897175,16.23511415,15.90983785,22948585,384279115.0
2020-06-05,15.9768065,15.9194048,16.08204295,15.7663336,16604055,276181938.0
2020-06-08,16.072476,15.9768065,16.31164975,15.9576726,20752813,349721931.0
2020-06-09,15.98637345,15.87157005,16.00550735,15.75676665,23246632,384743283.0
2020-06-10,15.8046014,15.85243615,15.87157005,15.71849885,14245722,235192605.0
2020-06-11,16.04377515,16.00550735,16.3020828,15.89070395,37110017,625762684.0
2020-06-12,15.6323963,15.8046014,15.8620031,15.50802595,25335335,416549552.0
2020-06-15,15.689798,15.5175929,15.79503445,15.50802595,27531034,450319429.0
2020-06-16,15.64196325,15.81416835,15.8428692,15.64196325,25596033,421860255.0
