date,open,close,high,low,volume,amount
2020-01-02,977.312736,979.04556,992.09372472,966.915792,14809916,16696837095.0
2020-01-03,967.782204,934.47732672,967.782204,933.0390828,13031878,14266380596.0
2020-01-06,927.80595432,933.98347188,946.9016748,924.7215276,6341478,6853917601.0
2020-01-07,933.55893,948.31392636,952.186788,932.6058768,4785359,5220697068.0
2020-01-08,940.1003406,942.77755368,949.154346,937.96030296,2500825,2720371915.0
2020-01-09,947.854728,955.3925124,957.72316068,944.38908,3740587,4110949814.0
2020-01-10,960.850908,963.88335,966.90712788,955.21923,3597587,3993457118.0
2020-01-13,963.88335,974.08101924,978.3524304,963.450144,3851575,4325687959.0
2020-01-14,974.0203704,959.4646488,974.61819468,955.652436,3514465,3916300790.0
2020-01-15,960.85957212,963.56277756,971.7676992,957.38526,2602911,2895603674.0
2020-01-16,969.40239444,959.118084,969.40239444,955.28854296,2319165,2571593141.0
2020-01-17,961.71732,959.55129,964.12594536,953.92827612,2347275,2599645144.0
2020-01-20,963.32884632,945.255492,963.32884632,937.457784,3539130,3858246844.0
2020-01-21,936.591372,931.6528236,941.789844,929.0535876,3287405,3542441308.0
2020-01-22,927.06084,931.83477012,939.190608,914.39389656,3620004,3875275065.0
2020-01-23,932.259312,912.1585536,932.259312,898.469244,5346843,5638945742.0
2020-02-03,853.41582,869.80833504,875.66528016,849.08376,12344288,12314991759.0
2020-02-04,879.40818,899.34432012,915.797484,875.95119612,6262418,6490469043.0
2020-02-05,909.7326,909.72393588,913.198248,895.02958836,4741824,4956355235.0
2020-02-06,917.90286516,927.927252,931.3929,911.48275224,4717121,5011246407.0
2020-02-07,927.06950412,932.259312,933.125724,919.28046024,3127871,3348894576.0
2020-02-10,920.129544,924.01973388,931.0463352,915.9707664,3053342,3251908506.0
2020-02-11,920.995956,951.320376,952.77594816,920.8226736,4791793,5222918915.0
2020-02-12,943.522668,950.68789524,952.00484148,940.81946256,2812543,3072293973.0
2020-02-13,951.320376,945.255492,965.08766268,942.66492012,3035736,3335277425.0
2020-02-14,944.7789654,942.656256,947.43018612,938.41950132,2328760,2534568401.0
2020-02-17,937.89099,947.69877384,949.75217028,937.8043488,2702822,2946182657.0
2020-02-18,944.39774412,939.190608,950.34999456,938.324196,2666496,2897729692.0
2020-02-19,940.05702,950.020758,954.352818,933.992136,3705147,4052365602.0
