date,open,close,high,low,volume,amount
2020-01-02,28.78950863,29.43297648,29.61466152,28.78193842,82624452,3191180650.0
2020-01-03,29.48596795,29.8266274,29.99317202,29.46325732,52010611,2045230273.0
2020-01-06,29.66765299,29.70550404,30.40196336,29.4481169,54887720,2171575505.0
2020-01-07,29.94018055,29.63737215,30.23541874,29.5995211,34767128,1369304771.0
2020-01-08,29.48596795,29.07717661,29.48596795,29.07717661,36323418,1403861101.0
2020-01-09,29.40269564,29.4481169,29.523819,29.20587018,30335989,1177003661.0
2020-01-10,29.4481169,29.55409984,29.73578488,29.33456375,28593121,1116903172.0
2020-01-13,29.73578488,29.5995211,29.73578488,29.33456375,32780852,1279073028.0
2020-01-14,29.62980194,29.37998501,30.00074223,29.2967127,33564638,1314430602.0
2020-01-15,29.40269564,28.85764052,29.44054669,28.78193842,48859891,1870048774.0
2020-01-16,28.93334262,28.73651716,29.03175535,28.58511296,45384826,1723277982.0
2020-01-17,28.81221926,28.71380653,28.89549157,28.52455128,42135711,1595789849.0
2020-01-20,28.93334262,29.00147451,29.25886165,28.766798,58580886,2244268938.0
2020-01-21,28.72894695,28.60782359,28.88035115,28.5396917,41720185,1580332561.0
2020-01-22,28.5396917,28.63053422,28.8425001,28.12333015,53125460,2000618547.0
2020-01-23,28.41099813,27.86594301,28.5396917,27.59341545,78750274,2912304571.0
2020-02-03,25.5873098,26.51844563,26.8742455,25.5873098,113106226,3944795003.0
2020-02-04,26.52601584,26.76069235,26.85910508,26.25348828,122967652,4313054347.0
2020-02-05,26.75312214,26.76826256,26.88181571,26.36704143,80257198,2826862599.0
2020-02-06,26.8742455,27.06350075,27.12406243,26.59414773,73070159,2589474707.0
2020-02-07,26.5714371,26.81368382,26.84396466,26.50330521,67552464,2374190018.0
2020-02-10,26.59414773,26.5714371,26.67742004,26.45788395,57504178,2016401930.0
2020-02-11,26.7228413,26.92723697,27.13920285,26.60928815,55743628,1983770029.0
2020-02-12,26.8742455,26.9499476,26.99536886,26.67742004,40538973,1437177997.0
2020-02-13,26.89695613,26.70013067,26.91209655,26.6471392,42235080,1493775789.0
2020-02-14,26.65470941,26.98022844,27.03321991,26.65470941,40339677,1431806484.0
2020-02-17,26.97265823,27.38144957,27.38144957,26.78340298,66942541,2396661832.0
2020-02-18,27.252756,27.0256497,27.252756,26.9499476,51639665,1846260235.0
2020-02-19,26.9499476,26.89695613,27.16948369,26.84396466,41952131,1496142157.0
2020-02-20,26.99536886,27.23761558,27.29060705,26.6471392,74600588,2658121245.0
2020-02-21,27.1770539,26.98022844,27.19976453,26.85153487,73031468,2603112503.0
2020-02-24,26.86667529,26.53358605,27.01807949,26.51844563,79856482,2812039823.0
2020-02-25,26.35190101,26.21563723,26.55629668,26.1172245,87373432,3032212325.0
2020-02-26,26.04909261,26.36704143,26.48816479,25.92796925,77970475,2707591830.0
2020-02-27,26.33676059,26.66227962,26.76069235,26.2686287,68937853,2422074087.0
2020-02-28,26.38218185,25.8901182,26.63199878,25.8901182,83534097,2885398352.0
2020-03-02,25.92039904,26.30647975,26.40489248,25.8144161,70429063,2438029173.0
2020-03-03,26.44274353,26.20806702,26.5714371,26.05666282,68607306,2380418310.0
2020-03-04,26.25348828,26.32919038,26.3443308,26.07180324,56088606,1941800190.0
2020-03-05,26.48816479,27.42687083,27.49500272,26.3443308,135541300,4840609026.0
2020-03-06,27.13163264,26.80611361,27.26789642,26.80611361,67067378,2389764957.0
2020-03-09,26.40489248,25.87497778,26.40489248,25.87497778,96659166,3318066994.0
2020-03-10,25.88254799,26.25348828,26.45031374,25.79927568,66829810,2309858482.0
2020-03-11,26.31404996,26.07937345,26.48816479,26.04909261,56655064,1965764178.0
2020-03-12,26.01881177,25.85983736,26.18535639,25.75385442,61918002,2118258080.0
2020-03-13,24.8302888,25.29207161,25.40562476,24.5274804,114095770,3748370246.0
2020-03-16,25.27693119,23.97485507,25.27693119,23.95214444,106602730,3445337101.0
2020-03-17,23.95971465,24.02027633,24.68645481,23.55092331,84344133,2675433577.0
2020-03-18,24.13382948,23.33138722,24.43663788,23.28596596,82431704,2604923481.0
2020-03-19,23.07400008,22.18828551,23.07400008,21.73407291,155945747,4591894342.0
2020-03-20,22.5592258,23.49793184,23.55092331,22.5592258,134315310,4101898423.0
2020-03-23,22.71820021,22.83175336,23.09671071,22.61978748,92897116,2804113446.0
2020-03-24,23.58120415,23.85373171,23.95971465,23.32381701,82535893,2585549433.0
2020-03-25,24.39878683,24.59561229,24.73944628,24.35336557,80952655,2629580314.0
2020-03-26,24.3003741,24.76972712,25.29964182,24.27009326,69463585,2281461462.0
2020-03-27,25.07253552,24.76972712,25.23150993,24.58804208,58177545,1911127945.0
2020-03-30,24.36093578,24.71673565,24.76972712,24.0732678,47749415,1541068106.0
2020-03-31,24.92113132,24.43663788,24.96655258,24.34579536,37754006,1228383288.0
2020-04-01,24.31551452,24.32308473,24.71673565,24.224672,35814313,1157345796.0
2020-04-02,24.03541675,24.48205914,24.48205914,24.00513591,28960147,929189673.0
2020-04-03,24.224672,24.33822515,24.46691872,24.21710179,25161829,808697603.0
2020-04-07,24.86056964,24.61832292,24.89085048,24.5274804,43184378,1406732994.0
2020-04-08,24.6031825,24.39121662,24.6031825,24.31551452,31813445,1024956344.0
2020-04-09,24.44420809,24.4517783,24.48962935,24.30794431,28664595,924260480.0
2020-04-10,24.53505061,24.3003741,24.64860376,24.15654011,43743153,1409435238.0
2020-04-13,24.16411032,24.17168053,24.3760762,24.08840822,23055549,737876564.0
2020-04-14,24.36093578,24.76215691,24.76215691,24.28523368,42707944,1386006869.0
2020-04-15,24.67131439,24.54262082,24.70159523,24.46691872,23783848,771129191.0
2020-04-16,24.3760762,24.3003741,24.53505061,24.19439116,29499982,947452268.0
2020-04-17,24.56533145,24.87571006,25.1330972,24.48205914,69795242,2293965391.0
2020-04-20,24.89842069,24.9059909,25.04225468,24.64103355,33602426,1104349255.0
2020-04-21,24.9059909,24.71673565,25.01197384,24.66374418,32871489,1077331035.0
2020-04-22,24.56533145,24.77729733,24.79243775,24.47448893,27943538,910099517.0
2020-04-23,24.84542922,24.74701649,24.95141216,24.71673565,24614551,807219190.0
2020-04-24,24.76972712,24.61075271,24.76972712,24.53505061,22259784,723766561.0
2020-04-27,24.79243775,25.42076518,25.72357358,24.76972712,65341471,2197523211.0
2020-04-28,25.4359056,25.63273106,25.6630119,25.2087993,36651091,1234430064.0
2020-04-29,25.6630119,26.51087542,26.5714371,25.65544169,65876588,2288732967.0
2020-04-30,26.60928815,26.56386689,27.29060705,26.53358605,71533247,2544804889.0
2020-05-06,26.13993513,26.21563723,26.32919038,25.87497778,50173590,1731704264.0
2020-05-07,26.1929266,26.07937345,26.20806702,25.77656505,29948465,1028793473.0
2020-05-08,26.32162017,26.47302437,26.63199878,26.15507555,39215460,1371649847.0
2020-05-11,26.48059458,26.46545416,26.85910508,26.40489248,29584829,1040649468.0
2020-05-12,26.48816479,26.18535639,26.52601584,26.07180324,34963382,1213003373.0
2020-05-13,26.0415224,26.14750534,26.25348828,25.8144161,27983494,961672947.0
2020-05-14,26.03395219,25.68572253,26.05666282,25.5873098,42063019,1430362916.0
2020-05-15,25.88254799,25.62516085,25.93553946,25.5116077,36192753,1226127432.0
2020-05-18,25.45104602,25.5873098,25.9658203,25.36777371,36370093,1233862748.0
2020-05-19,26.0415224,25.94310967,26.10208408,25.78413526,26430448,904985389.0
2020-05-20,25.94310967,26.25348828,26.51844563,25.8144161,38051757,1313430550.0
2020-05-21,26.42760311,26.29133933,26.63199878,26.23834786,36252721,1263004925.0
2020-05-22,26.10965429,25.45861623,26.26105849,25.44347581,42396439,1439086679.0
2020-05-25,25.67815232,25.04982489,25.69329274,24.9059909,43264917,1434823005.0
2020-05-26,25.2087993,25.30721203,25.35263329,25.04982489,32246077,1072932146.0
